root_id,learned_decision,selected_length,matched_fixed_method,full_trajectory_parity
square:hb3p_stop_continue_formal:800238,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800239,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800240,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800241,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800242,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800243,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800244,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800245,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800246,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800247,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800248,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800249,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800250,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800251,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800252,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800253,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800254,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800255,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800256,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800257,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800258,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800259,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800260,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800261,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800262,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800263,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800264,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800265,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800266,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800267,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800268,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800269,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800270,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800271,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800272,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800273,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800274,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800275,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800276,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800277,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800278,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800279,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800280,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800281,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800282,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800283,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800284,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800285,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800286,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800287,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800288,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800289,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800290,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800291,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800292,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800293,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800294,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800295,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800296,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800297,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800298,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800299,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800300,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800301,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800302,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800303,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800304,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800305,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800306,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800307,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800308,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800309,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800310,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800311,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800312,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800313,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800314,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800315,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800316,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800317,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800318,CONTINUE,80,FIXED_L80,True
